id	name	url	pictureURL	genres
15353	Mĺns Zelmerlöv	http://www.last.fm/music/+noredirect/M%C4%BAns+Zelmerl%C3%B6v	http://userserve-ak.last.fm/serve/252/27991077.jpg	unknown
16249	PE'Z	http://www.last.fm/music/PE%27Z	http://userserve-ak.last.fm/serve/252/5118156.jpg	unknown
14476	Seasick Steve	http://www.last.fm/music/Seasick+Steve	http://userserve-ak.last.fm/serve/252/12712637.jpg	unknown
13505	Janet & Jak Esim	http://www.last.fm/music/Janet%2B%2526%2BJak%2BEsim	http://userserve-ak.last.fm/serve/252/37481.gif	unknown
17630	Eisregen	http://www.last.fm/music/Eisregen	http://userserve-ak.last.fm/serve/252/11628929.jpg	unknown
647	Eleftheria Eleftheriou	http://www.last.fm/music/Eleftheria+Eleftheriou	http://userserve-ak.last.fm/serve/252/55899357.png	unknown
17842	AirFare	http://www.last.fm/music/AirFare	http://userserve-ak.last.fm/serve/252/4302347.jpg	unknown
17749	Talek R. Julian	http://www.last.fm/music/Talek+R.+Julian		unknown
17961	2562	http://www.last.fm/music/2562	http://userserve-ak.last.fm/serve/252/6015210.jpg	unknown
10143	Stephanie Mills	http://www.last.fm/music/Stephanie+Mills	http://userserve-ak.last.fm/serve/252/44790195.png	unknown
1379	Hurts	http://www.last.fm/music/Hurts	http://userserve-ak.last.fm/serve/252/49553073.png	unknown
8415	Christopher Young	http://www.last.fm/music/Christopher+Young	http://userserve-ak.last.fm/serve/252/34469517.png	unknown
6988	Flint Glass	http://www.last.fm/music/Flint+Glass	http://userserve-ak.last.fm/serve/252/6643527.jpg	unknown
12703	Jeniferever	http://www.last.fm/music/Jeniferever	http://userserve-ak.last.fm/serve/252/58125265.jpg	unknown
13657	o9	http://www.last.fm/music/o9	http://userserve-ak.last.fm/serve/252/78435.jpg	unknown
2647	Bill	http://www.last.fm/music/Bill	http://userserve-ak.last.fm/serve/252/15369853.jpg	unknown
4274	Nihilist	http://www.last.fm/music/Nihilist	http://userserve-ak.last.fm/serve/252/2178098.jpg	unknown
18609	Selig	http://www.last.fm/music/Selig	http://userserve-ak.last.fm/serve/252/20757909.jpg	unknown
2012	key	http://www.last.fm/music/key	http://userserve-ak.last.fm/serve/252/59003911.jpg	unknown
17352	Ethnic Music Classics: 1925-48	http://www.last.fm/music/Ethnic+Music+Classics%3A+1925-48		unknown
11542	International Observer	http://www.last.fm/music/International+Observer	http://userserve-ak.last.fm/serve/252/17019125.jpg	unknown
15834	Тома Здравков	http://www.last.fm/music/%D0%A2%D0%BE%D0%BC%D0%B0+%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D0%BA%D0%BE%D0%B2	http://userserve-ak.last.fm/serve/252/5868700.jpg	unknown
1906	東方神起	http://www.last.fm/music/%E6%9D%B1%E6%96%B9%E7%A5%9E%E8%B5%B7	http://userserve-ak.last.fm/serve/252/58237359.png	unknown
17059	Man Aubergine	http://www.last.fm/music/Man+Aubergine	http://userserve-ak.last.fm/serve/252/303119.jpg	unknown
8418	The Sunshine Underground	http://www.last.fm/music/The+Sunshine+Underground	http://userserve-ak.last.fm/serve/252/10296.jpg	unknown
7270	Dj Rafael Lelis	http://www.last.fm/music/Dj+Rafael+Lelis	http://userserve-ak.last.fm/serve/252/54419419.png	unknown
